id,beneficiary-name,date,direction,amount,description,currency,mcc,kind
66229487,Faculty of contemporary arts,1/1/2021,d,187.20,Tuition,USD,8299,pmt
15122088,Glovo,1/1/2021,d,44.30,Food delivery,USD,5811,pmt
71233330,Glovo,1/1/2021,d,17.00,Food delivery,USD,5811,pmt
24419286,Claire Stevens,1/1/2021,c,300.10,Monthly rent,USD,,dep
31952674,Josh,1/1/2021,d,35.10,Allowance,USD,,pmt
76053069,Hertz,1/1/2021,d,11.60,Taxi,USD,7519,pmt
67251535,Book depository,1/2/2021,d,15.60,Amazon Kindle subscription,USD,,pmt
51023898,Table tenis club PingPong,1/2/2021,d,12.30,Daily pool ticket,USD,5655,pmt
19088602,Delhaize,1/3/2021,d,33.50,Supermaket shopping,USD,5499,pmt
46251212,Swimming school,1/3/2021,d,22.00,Membership,USD,,pmt
38450379,Blue moon spa,1/3/2021,d,22.50,Massage,USD,8050,pmt
40474619,Adobe,1/3/2021,d,20.10,Games,USD,5045,pmt
77280316,MetLife,1/4/2021,d,200.90,Life insurance premium,USD,6300,pmt
62511511,City parkings,1/5/2021,d,2.30,Parking fee,USD,7523,pmt
18709472,A1 Telecom,1/6/2021,d,6.90,Phone bill,USD,,pmt
56500502,National Geographic,1/6/2021,d,4.80,National Geographic,USD,5192,pmt
46134066,Revolut,1/6/2021,d,4.60,ATM withdrawal fee,USD,,fee
28670410,Wolt,1/6/2021,d,48.40,Food delivery,USD,5811,pmt
61393516,Dental Plus,1/6/2021,d,20.90,Doctor's appointment,USD,8011,pmt
31930196,Claire Stevens,1/6/2021,c,300.10,Monthly rent,USD,,dep
25661064,Swimming school,1/6/2021,d,27.10,Membership,USD,,pmt
55836439,Faculty of contemporary arts,1/7/2021,d,185.50,Tuition,USD,8299,pmt
16419247,Lidl,1/7/2021,d,33.10,Supermaket shopping,USD,5499,pmt
78624056,Lidl,1/7/2021,d,36.80,Supermaket shopping,USD,5499,pmt
70919477,Claire Stevens,1/7/2021,c,300.10,Monthly rent,USD,,dep
65912072,Raiffeisen Leasing,1/8/2021,d,450.50,Financial leasing,USD,7394,pmt
54545537,City parkings,1/8/2021,d,1.50,Parking fee,USD,7523,pmt
24839524,Pet salon Rex,1/8/2021,d,10.30,Grooming,USD,,pmt
50559764,A1 Telecom,1/9/2021,d,6.10,Phone bill,USD,,pmt
66797216,Book depository,1/9/2021,d,126.10,Books,USD,,pmt
74734869,Bank of America,1/9/2021,d,5.00,Revolut Silver subscription,USD,,fee
26744744,Lidl,1/9/2021,d,33.90,Supermaket shopping,USD,5499,pmt
38970077,Glovo,1/9/2021,d,31.30,Food delivery,USD,5811,pmt
25182041,Wolt,1/9/2021,d,24.50,Food delivery,USD,5811,pmt
17484730,Emmezeta,1/9/2021,d,41.90,Appliances,USD,5712,pmt
13743307,Heating,1/10/2021,d,63.00,Utilities payment,USD,,pmt
20670750,Revolut,1/10/2021,d,3.30,Revolut Silver subscription,USD,,fee
61550061,Delhaize,1/10/2021,d,40.70,Supermaket shopping,USD,5499,pmt
13793179,Lidl,1/10/2021,d,31.70,Supermaket shopping,USD,5499,pmt
54803074,Glovo,1/10/2021,d,47.10,Food delivery,USD,5811,pmt
62403764,Wolt,1/10/2021,d,20.20,Food delivery,USD,5811,pmt
73316470,Wolt,1/10/2021,d,21.60,Food delivery,USD,5811,pmt
45707636,Generali,1/10/2021,d,45.80,Extended health insurance,USD,,pmt
81379047,Lending Club,1/10/2021,d,33.20,Loan Payment,USD,,pmt
87991257,Glovo,1/11/2021,d,40.60,Food delivery,USD,5811,pmt
87031393,Lidl,1/11/2021,d,90.70,Supermaket shopping,USD,5200,pmt
56230289,Revolut,1/12/2021,d,3.50,ATM withdrawal fee,USD,,fee
14747494,Glovo,1/12/2021,d,18.80,Food delivery,USD,5811,pmt
66430374,Karate club,1/12/2021,d,24.40,Club membership,USD,,pmt
52979952,Revolut,1/13/2021,d,5.50,ATM withdrawal fee,USD,,fee
33062101,Lidl,1/13/2021,d,37.10,Supermaket shopping,USD,5499,pmt
35806343,Chase,1/13/2021,d,400.90,Rent pay,USD,,pmt
59160066,Office365,1/13/2021,d,18.20,TV,USD,5045,pmt
19306119,Fit and Fun,1/14/2021,d,24.40,Personal trainer,USD,,pmt
88450187,T-Mobile,1/15/2021,d,13.20,Mobile phone bill,USD,,pmt
81175550,New York Times,1/15/2021,d,3.10,National Geographic,USD,5192,pmt
62684206,Glovo,1/15/2021,d,48.90,Food delivery,USD,5811,pmt
85715522,Glovo,1/15/2021,d,26.80,Food delivery,USD,5811,pmt
59865534,Karate club,1/15/2021,d,22.20,Club membership,USD,,pmt
11405257,Shell,1/16/2021,d,45.40,Gasoline purchases,USD,5983,pmt
55328081,Bank of America,1/16/2021,d,4.40,ATM withdrawal fee,USD,,fee
25561285,Fit and Fun,1/16/2021,d,24.40,Gym membership,USD,,pmt
47317900,Best Western,1/16/2021,d,"1,542.10",Hotel,USD,7011,pmt
65798098,New York Times,1/17/2021,d,5.40,New York Times,USD,5192,pmt
63481773,Lidl,1/17/2021,d,32.90,Supermaket shopping,USD,5499,pmt
30284301,Wolt,1/17/2021,d,23.60,Food delivery,USD,5811,pmt
70632405,Glovo,1/17/2021,d,32.00,Food delivery,USD,5811,pmt
58200155,Asseco,1/17/2021,c,"2,382.40",Salary,USD,,sal
70926853,Travel house,1/17/2021,d,532.40,Vacation,USD,5962,pmt
18731176,,1/18/2021,d,204.10,ATM withdrawal,USD,,wdw
35345408,City parkings,1/18/2021,d,2.00,Parking fee,USD,7523,pmt
35262874,A1 Telecom,1/18/2021,d,6.10,Phone bill,USD,,pmt
82337135,Comcast,1/18/2021,d,18.60,Television bill,USD,,pmt
36000405,Wolt,1/18/2021,d,39.00,Food delivery,USD,5811,pmt
68207272,Wolt,1/18/2021,d,38.30,Food delivery,USD,5811,pmt
28813980,Glovo,1/18/2021,d,38.00,Food delivery,USD,5811,pmt
29176780,Glovo,1/18/2021,d,50.00,Food delivery,USD,5811,pmt
63897326,Fit and Fun,1/18/2021,d,27.30,Gym membership,USD,,pmt
81206808,Apple,1/19/2021,d,15.20,Spotify premium subscription,USD,5733,pmt
50289390,Bank of America,1/19/2021,d,7.90,Online banking fee,USD,,fee
69969043,Lidl,1/19/2021,d,34.40,Supermaket shopping,USD,5499,pmt
55106881,Delhaize,1/19/2021,d,30.30,Supermaket shopping,USD,5499,pmt
36526776,Red Cross,1/19/2021,d,98.80,Charity,USD,,pmt
62811505,Coinbase,1/19/2021,c,939.70,Project based fee,USD,,dep
29420070,Wolt,1/20/2021,d,43.70,Food delivery,USD,5811,pmt
55472439,Wolt,1/21/2021,d,19.30,Food delivery,USD,5811,pmt
23692934,Wolt,1/21/2021,d,27.40,Food delivery,USD,5811,pmt
78627884,Music school,1/22/2021,d,199.10,Tuition,USD,8299,pmt
48787348,Glovo,1/22/2021,d,36.30,Food delivery,USD,5811,pmt
36456188,Generali,1/22/2021,d,45.50,Extended health insurance,USD,,pmt
24415144,Wells Fargo,1/22/2021,d,64.10,Loan Payment,USD,,pmt
13921480,T-Mobile,1/23/2021,d,20.40,Mobile phone bill,USD,,pmt
37642221,Glovo,1/23/2021,d,47.00,Food delivery,USD,5811,pmt
27697612,Karate club,1/23/2021,d,29.90,Club membership,USD,,pmt
84895059,The barbers,1/23/2021,d,38.20,Haircut,USD,7230,pmt
77672113,Glovo,1/24/2021,d,35.90,Food delivery,USD,5811,pmt
63809308,Table tenis club PingPong,1/24/2021,d,13.40,Table tennis 2 hrs,USD,5655,pmt
81972960,Chase,1/24/2021,d,400.70,Rent pay,USD,,pmt
29322322,Chase,1/24/2021,d,400.40,Rent pay,USD,,pmt
45215367,Jill,1/24/2021,d,45.70,Allowance,USD,,pmt
40208406,Adobe,1/24/2021,d,16.60,Games,USD,5045,pmt
55541588,Shell,1/25/2021,d,41.90,Gasoline purchases,USD,5983,pmt
28506860,A1 Telecom,1/25/2021,d,12.40,Mobile phone bill,USD,,pmt
36154674,Revolut,1/25/2021,d,4.40,ATM withdrawal fee,USD,,fee
63826888,Glovo,1/25/2021,d,41.60,Food delivery,USD,5811,pmt
60866991,Karate club,1/25/2021,d,29.50,Membership,USD,,pmt
89589207,Residential Property,1/25/2021,d,170.30,Tax pay,USD,9311,pmt
32085229,Music school,1/26/2021,d,169.90,Tuition,USD,8299,pmt
46151174,Wolt,1/26/2021,d,38.80,Food delivery,USD,5811,pmt
32671432,Legend,1/26/2021,d,273.40,Fotwear,USD,,pmt
52778926,Faculty of contemporary arts,1/27/2021,d,163.40,Tuition,USD,8299,pmt
81496870,Glovo,1/27/2021,d,36.10,Food delivery,USD,5811,pmt
80802711,Wolt,1/27/2021,d,25.60,Food delivery,USD,5811,pmt
37785375,Pet store,1/27/2021,d,22.30,Shopping,USD,5995,pmt
31551099,Pet salon Rex,1/27/2021,d,10.70,Grooming,USD,,pmt
59714066,T-Mobile,1/28/2021,d,16.80,Mobile phone bill,USD,,pmt
16022872,Pet hotel Happy Dog,1/28/2021,d,100.80,Monthly stay,USD,5995,pmt
27849453,Tele9,2/2/2021,d,11.60,Television bill,USD,,pmt
34319628,Hulu,2/2/2021,d,10.00,Netflix subscription,USD,,pmt
75182589,Bank of America,2/2/2021,d,7.60,Online banking fee,USD,,fee
87320434,Delhaize,2/2/2021,d,34.80,Supermaket shopping,USD,5499,pmt
68514521,Wolt,2/2/2021,d,15.50,Food delivery,USD,5811,pmt
15372512,Fit and Fun,2/2/2021,d,29.50,Personal trainer,USD,,pmt
67356712,Coinbase,2/2/2021,c,928.60,Project based fee,USD,,dep
58361465,Hertz,2/2/2021,d,14.70,Car rent,USD,7519,pmt
27148066,Comcast,2/3/2021,d,11.30,Television bill,USD,,pmt
78649843,Glovo,2/3/2021,d,26.40,Food delivery,USD,5811,pmt
70889975,Glovo,2/3/2021,d,23.70,Food delivery,USD,5811,pmt
11329310,Wolt,2/3/2021,d,27.40,Food delivery,USD,5811,pmt
17927225,Wolt,2/4/2021,d,49.80,Food delivery,USD,5811,pmt
51803613,Glovo,2/4/2021,d,48.80,Food delivery,USD,5811,pmt
42572989,Wolt,2/4/2021,d,20.70,Food delivery,USD,5811,pmt
32955143,Tax company,2/4/2021,d,"2,315.00",Tax pay,USD,9311,pmt
66775618,Home cleaning service,2/5/2021,d,50.60,Cleaning,USD,,pmt
23629944,Claire Stevens,2/5/2021,c,300.80,Monthly rent,USD,,dep
84874402,Chevron,2/6/2021,d,71.30,Gasoline purchases,USD,5983,pmt
35409985,Orange,2/7/2021,d,26.10,Internet bill,USD,,pmt
46709053,Delhaize,2/7/2021,d,36.90,Supermaket shopping,USD,5499,pmt
52385743,Wolt,2/7/2021,d,30.30,Food delivery,USD,5811,pmt
31153688,Glovo,2/7/2021,d,33.30,Food delivery,USD,5811,pmt
87296165,Wolt,2/7/2021,d,32.90,Food delivery,USD,5811,pmt
69304214,Generali,2/7/2021,d,45.10,Extended health insurance,USD,,pmt
83001561,The barbers,2/7/2021,d,35.70,Haircut,USD,7230,pmt
56591253,Glovo,2/8/2021,d,41.50,Food delivery,USD,5811,pmt
34131085,Glovo,2/8/2021,d,41.70,Food delivery,USD,5811,pmt
13969038,Generali,2/8/2021,d,45.50,Extended health insurance,USD,,pmt
17498427,Spotify,2/9/2021,d,16.00,Apple music subscription,USD,5733,pmt
75932511,Wolt,2/9/2021,d,26.70,Food delivery,USD,5811,pmt
15200726,Wolt,2/10/2021,d,50.00,Food delivery,USD,5811,pmt
57169461,Glovo,2/10/2021,d,30.60,Food delivery,USD,5811,pmt
74901989,Chase,2/10/2021,d,400.60,Rent pay,USD,,pmt
13609418,Lidl,2/11/2021,d,40.70,Supermaket shopping,USD,5499,pmt
25728595,Lidl,2/11/2021,d,35.60,Supermaket shopping,USD,5499,pmt
81554231,Lidl,2/11/2021,d,37.30,Supermaket shopping,USD,5499,pmt
31560846,Wolt,2/11/2021,d,24.30,Food delivery,USD,5811,pmt
64880870,PersonalLoans,2/11/2021,d,9.90,Charge pay,USD,,fee
26174855,Hulu,2/12/2021,d,10.50,Netflix subscription,USD,,pmt
48519516,Glovo,2/12/2021,d,19.20,Food delivery,USD,5811,pmt
87499780,Swimming pool Activa,2/12/2021,d,15.20,Table tennis 2 hrs,USD,5655,pmt
47105503,Book depository,2/13/2021,d,15.80,Book,USD,,pmt
89554504,Swimming school,2/13/2021,d,20.40,Membership,USD,,pmt
16265468,Generali ado,2/14/2021,d,789.40,Kasko insurance,USD,6381,pmt
76677421,National Geographic,2/14/2021,d,4.50,National Geographic,USD,5192,pmt
27776411,Generali,2/14/2021,d,45.50,Extended health insurance,USD,,pmt
24380867,Pet hotel Happy Dog,2/14/2021,d,100.50,Monthly stay,USD,5995,pmt
50487794,Glovo,2/16/2021,d,23.00,Food delivery,USD,5811,pmt
32192649,Glovo,2/16/2021,d,26.20,Food delivery,USD,5811,pmt
11008302,Red Cross,2/16/2021,d,52.10,Charity,USD,,pmt
25577580,Book depository,2/17/2021,d,14.70,Amazon Kindle subscription,USD,,pmt
65079418,Glovo,2/17/2021,d,17.10,Food delivery,USD,5811,pmt
89924962,Wolt,2/18/2021,d,28.50,Food delivery,USD,5811,pmt
17281392,Wolt,2/18/2021,d,43.60,Food delivery,USD,5811,pmt
25814966,Amazon,2/18/2021,d,20.60,Science fiction,USD,5192,pmt
12863727,A1 Telecom,2/20/2021,d,29.30,Internet bill,USD,,pmt
81491994,Lidl,2/20/2021,d,37.30,Supermaket shopping,USD,5499,pmt
58838367,Delhaize,2/20/2021,d,31.60,Supermaket shopping,USD,5499,pmt
37734533,Glovo,2/20/2021,d,46.70,Food delivery,USD,5811,pmt
16932601,Medilife,2/20/2021,d,42.80,General Practitioner,USD,8011,pmt
69165310,R-Pharm,2/20/2021,d,37.30,Medicine,USD,5912,pmt
27088707,Claire Stevens,2/20/2021,c,300.80,Monthly rent,USD,,dep
70261366,Orange,2/21/2021,d,5.00,Phone bill,USD,,pmt
52466008,Wolt,2/21/2021,d,49.90,Food delivery,USD,5811,pmt
31795569,Generali,2/21/2021,d,45.90,Extended health insurance,USD,,pmt
49895939,Claire Stevens,2/21/2021,c,301.00,Monthly rent,USD,,dep
36443001,,2/22/2021,d,261.30,ATM withdrawal,USD,,wdw
23640269,Electro distribution,2/22/2021,d,77.90,Utilities payment,USD,,pmt
89936274,Bank of America,2/22/2021,d,4.70,Revolut Silver subscription,USD,,fee
74868229,Office365,2/22/2021,d,10.60,Games,USD,5045,pmt
18122741,City parkings,2/23/2021,d,2.00,Parking fee,USD,7523,pmt
38261701,Bank of America,2/23/2021,d,3.20,Online banking fee,USD,,fee
63809101,Delhaize,2/23/2021,d,30.40,Supermaket shopping,USD,5499,pmt
35545492,Wolt,2/23/2021,d,24.50,Food delivery,USD,5811,pmt
79633437,Wolt,2/23/2021,d,34.70,Food delivery,USD,5811,pmt
78153934,Gerber Products Company,2/23/2021,d,78.00,Baby wardrobe,USD,,pmt
85979197,UniCredit Leasing,2/24/2021,d,450.00,Financial leasing,USD,7394,pmt
74014301,Raiffeisen Leasing,2/24/2021,d,450.00,Financial leasing,USD,7394,pmt
64156976,Revolut,2/24/2021,d,4.30,ATM withdrawal fee,USD,,fee
78768783,Wolt,2/24/2021,d,24.80,Food delivery,USD,5811,pmt
40328813,Glovo,2/24/2021,d,27.60,Food delivery,USD,5811,pmt
63017868,Glovo,2/24/2021,d,19.40,Food delivery,USD,5811,pmt
18912877,Lidl,2/24/2021,d,89.50,Supermaket shopping,USD,5200,pmt
35750091,Karate club,2/24/2021,d,24.90,Club membership,USD,,pmt
87379790,Revolut,2/25/2021,d,5.50,ATM withdrawal fee,USD,,fee
79522957,Glovo,2/25/2021,d,26.70,Food delivery,USD,5811,pmt
87703931,Save our kids,2/25/2021,d,43.00,Charity,USD,,pmt
63228493,Fit and Fun,2/25/2021,d,21.40,Gym membership,USD,,pmt
42356974,Comcast,2/26/2021,d,20.00,Television bill,USD,,pmt
53216135,Hulu,2/26/2021,d,10.70,Hulu subscription,USD,,pmt
27969440,Swimming pool Activa,2/26/2021,d,10.40,Daily pool ticket,USD,5655,pmt
69950114,Jill,2/26/2021,d,39.90,Allowance,USD,,pmt
46043457,Swimming school,2/26/2021,d,24.00,Club membership,USD,,pmt
77541439,Glovo,2/27/2021,d,44.40,Food delivery,USD,5811,pmt
28962498,Glovo,2/27/2021,d,32.40,Food delivery,USD,5811,pmt
67126878,Glovo,2/27/2021,d,43.90,Food delivery,USD,5811,pmt
11951369,Serenity Wellnes,2/27/2021,d,25.40,Spa treatment,USD,8050,pmt
49426791,Adobe,2/27/2021,d,16.70,Games,USD,5045,pmt
47798608,City parkings,2/28/2021,d,1.40,Parking fee,USD,7523,pmt
83696992,Bank of America,2/28/2021,d,6.60,Online banking fee,USD,,fee
44582621,Lidl,2/28/2021,d,32.60,Supermaket shopping,USD,5499,pmt
88732506,Glovo,2/28/2021,d,29.00,Food delivery,USD,5811,pmt
20694176,Home cleaning service,2/28/2021,d,47.80,Cleaning,USD,,pmt
22253331,Faculty of contemporary arts,3/1/2021,d,196.70,Tuition,USD,8299,pmt
70084400,Amazon,3/1/2021,d,8.00,Amazon Kindle subscription,USD,,pmt
22968080,National Geographic,3/1/2021,d,4.20,New York Times,USD,5192,pmt
16166338,Glovo,3/1/2021,d,34.80,Food delivery,USD,5811,pmt
40182091,Glovo,3/1/2021,d,30.10,Food delivery,USD,5811,pmt
46133888,Wolt,3/1/2021,d,36.60,Food delivery,USD,5811,pmt
54381518,Pet salon Rex,3/1/2021,d,10.00,Grooming,USD,,pmt
25128541,MetLife,3/2/2021,d,200.50,Life insurance premium,USD,6300,pmt
39522352,Josh,3/2/2021,d,42.20,Allowance,USD,,pmt
84330116,Sixt GmbH,3/2/2021,d,11.40,Car rent,USD,7519,pmt
24336861,Heating,3/3/2021,d,95.90,Utilities payment,USD,,pmt
39402677,Bank of America,3/3/2021,d,5.40,Revolut Silver subscription,USD,,fee
64844805,Lily,3/3/2021,d,38.90,Medicine,USD,5912,pmt
80465508,Swimming pool Activa,3/3/2021,d,15.60,Table tennis 2 hrs,USD,5655,pmt
36679148,Home cleaning service,3/3/2021,d,50.40,Cleaning,USD,,pmt
48124924,MasterCard,3/3/2021,d,57.40,Pay with Visa,USD,,pmt
43572207,Glovo,3/4/2021,d,45.50,Food delivery,USD,5811,pmt
38852592,Fit and Fun,3/4/2021,d,27.10,Personal trainer,USD,,pmt
81106968,Asseco,3/4/2021,c,"2,376.50",Salary,USD,,sal
21844448,Earnest,3/4/2021,d,11.50,Charge pay,USD,,fee
67876402,Adobe,3/4/2021,d,11.00,TV,USD,5045,pmt
21951934,Glovo,3/5/2021,d,42.90,Food delivery,USD,5811,pmt
58058332,Glovo,3/5/2021,d,22.00,Food delivery,USD,5811,pmt
51397021,Lidl,3/5/2021,d,93.70,Supermaket shopping,USD,5200,pmt
40847561,Electro distribution,3/6/2021,d,45.80,Utilities payment,USD,,pmt
53870822,Apple,3/6/2021,d,15.90,Spotify premium subscription,USD,5733,pmt
55734581,Wolt,3/6/2021,d,40.60,Food delivery,USD,5811,pmt
66580403,Glovo,3/6/2021,d,36.80,Food delivery,USD,5811,pmt
12088253,Hertz,3/6/2021,d,14.50,Taxi,USD,7519,pmt
11054450,A1 Telecom,3/7/2021,d,5.50,Phone bill,USD,,pmt
67952685,A1 Telecom,3/7/2021,d,34.00,Internet bill,USD,,pmt
40790136,Delhaize,3/7/2021,d,37.70,Supermaket shopping,USD,5499,pmt
84003434,Glovo,3/7/2021,d,39.30,Food delivery,USD,5811,pmt
43248167,Pet shop,3/7/2021,d,23.80,Shopping,USD,5995,pmt
36137786,Spotify,3/8/2021,d,15.60,Apple music subscription,USD,5733,pmt
30467833,Wolt,3/8/2021,d,37.50,Food delivery,USD,5811,pmt
86175280,Earnest,3/8/2021,d,6.70,Charge pay,USD,,fee
42122897,A1 Telecom,3/9/2021,d,20.50,Mobile phone bill,USD,,pmt
19536279,Electro distribution,3/9/2021,d,66.10,Utilities payment,USD,,pmt
76087191,Delhaize,3/9/2021,d,37.90,Supermaket shopping,USD,5499,pmt
42247740,Pet salon Rex,3/9/2021,d,10.50,Grooming,USD,,pmt
58741126,Bank of America,3/10/2021,d,5.70,ATM withdrawal fee,USD,,fee
32663461,Wolt,3/10/2021,d,22.50,Food delivery,USD,5811,pmt
80679455,PersonalLoans,3/10/2021,d,12.50,Charge pay,USD,,fee
63717018,Protetcta,3/11/2021,d,29.40,Doctor's appointment,USD,8011,pmt
62809479,Glovo,3/12/2021,d,22.80,Food delivery,USD,5811,pmt
73499286,Lidl,3/13/2021,d,30.20,Supermaket shopping,USD,5499,pmt
29382356,Lidl,3/13/2021,d,34.90,Supermaket shopping,USD,5499,pmt
56765457,A1 Telecom,3/14/2021,d,18.60,Mobile phone bill,USD,,pmt
59482560,Delhaize,3/14/2021,d,30.30,Supermaket shopping,USD,5499,pmt
16317033,Glovo,3/14/2021,d,31.20,Food delivery,USD,5811,pmt
85705641,Lending Club,3/14/2021,d,70.40,Loan Payment,USD,,pmt
30790257,Wolt,3/15/2021,d,18.40,Food delivery,USD,5811,pmt
62686611,Wolt,3/15/2021,d,19.90,Food delivery,USD,5811,pmt
76617746,Asseco,3/15/2021,c,"2,457.20",Salary,USD,,sal
62678590,City parkings,3/16/2021,d,2.70,Parking fee,USD,7523,pmt
69109474,Heating,3/16/2021,d,34.00,Utilities payment,USD,,pmt
18237211,Hulu,3/16/2021,d,9.50,Netflix subscription,USD,,pmt
36303640,Lidl,3/16/2021,d,40.00,Supermaket shopping,USD,5499,pmt
76988613,Glovo,3/16/2021,d,44.00,Food delivery,USD,5811,pmt
39222365,Faculty of contemporary arts,3/17/2021,d,155.10,Tuition,USD,8299,pmt
85609414,Adobe,3/17/2021,d,19.50,Games,USD,5045,pmt
25121097,,3/18/2021,d,127.80,ATM withdrawal,USD,,wdw
56824971,T-Mobile,3/18/2021,d,13.20,Mobile phone bill,USD,,pmt
60446112,National Geographic,3/18/2021,d,5.50,New York Times,USD,5192,pmt
10700110,Delhaize,3/18/2021,d,39.80,Supermaket shopping,USD,5499,pmt
26402275,Raiffeisen Leasing,3/19/2021,d,451.00,Financial leasing,USD,7394,pmt
35873729,MetLife,3/19/2021,d,200.80,Life insurance premium,USD,6300,pmt
31677312,Lidl,3/19/2021,d,33.50,Supermaket shopping,USD,5499,pmt
59715866,Glovo,3/19/2021,d,39.10,Food delivery,USD,5811,pmt
87903961,Fit and Fun,3/19/2021,d,25.60,Gym membership,USD,,pmt
87777270,R-Pharm,3/19/2021,d,39.80,Medicine,USD,5912,pmt
64853660,Visa,3/19/2021,d,83.20,Pay with Mastercard,USD,,pmt
47454144,Hertz,3/19/2021,d,15.60,Taxi,USD,7519,pmt
73621891,Glovo,3/20/2021,d,29.30,Food delivery,USD,5811,pmt
10566088,UniCredit Leasing,3/21/2021,d,450.00,Financial leasing,USD,7394,pmt
49931536,A1 Telecom,3/21/2021,d,14.20,Mobile phone bill,USD,,pmt
35938062,Bank of America,3/21/2021,d,4.80,Online banking fee,USD,,fee
34881422,Glovo,3/21/2021,d,36.90,Food delivery,USD,5811,pmt
43061695,Wolt,3/21/2021,d,47.20,Food delivery,USD,5811,pmt
45251421,Serenity Wellnes,3/21/2021,d,20.60,Spa treatment,USD,8050,pmt
55815716,New York Times,3/22/2021,d,3.70,National Geographic,USD,5192,pmt
17871871,Delhaize,3/22/2021,d,34.00,Supermaket shopping,USD,5499,pmt
87414176,Lidl,3/22/2021,d,31.60,Supermaket shopping,USD,5499,pmt
71881460,Glovo,3/22/2021,d,21.80,Food delivery,USD,5811,pmt
79643904,Pet store,3/22/2021,d,24.40,Shopping,USD,5995,pmt
56555459,R-Pharm,3/23/2021,d,30.70,Medicine,USD,5912,pmt
65192788,Serenity Wellnes,3/23/2021,d,20.90,Massage,USD,8050,pmt
65422095,Orange,3/24/2021,d,21.90,Internet bill,USD,,pmt
86366332,Glovo,3/24/2021,d,48.10,Food delivery,USD,5811,pmt
79283173,Wolt,3/24/2021,d,38.80,Food delivery,USD,5811,pmt
18570037,Generali,3/24/2021,d,45.60,Extended health insurance,USD,,pmt
51517103,Hooters Air,3/24/2021,d,487.30,Ticket pay,USD,,pmt
89223418,Revolut,3/25/2021,d,3.40,ATM withdrawal fee,USD,,fee
32995890,Glovo,3/25/2021,d,40.10,Food delivery,USD,5811,pmt
42148328,Amazon,3/26/2021,d,7.60,Book,USD,,pmt
27156890,Wolt,3/26/2021,d,41.50,Food delivery,USD,5811,pmt
84413223,Glovo,3/26/2021,d,17.30,Food delivery,USD,5811,pmt
75840817,Ikea,3/26/2021,d,45.70,Appliances,USD,5712,pmt
14191784,Jill,3/26/2021,d,36.20,Allowance,USD,,pmt
56345828,A1 Telecom,3/27/2021,d,34.10,Internet bill,USD,,pmt
31571587,Delhaize,3/27/2021,d,37.70,Supermaket shopping,USD,5499,pmt
88965487,Wolt,3/27/2021,d,15.20,Food delivery,USD,5811,pmt
32462400,Wolt,3/27/2021,d,39.40,Food delivery,USD,5811,pmt
